timestamp,gesture
2026-05-26T23:34:05.966933,no_hand
2026-05-26T23:34:09.181592,open_palm
2026-05-26T23:34:12.334397,unknown
2026-05-26T23:34:12.363763,peace
2026-05-26T23:34:27.536949,no_hand
2026-05-26T23:34:32.578858,open_palm
2026-05-26T23:34:34.583884,pinch
2026-05-26T23:34:36.118650,open_palm
2026-05-26T23:34:36.401277,pinch
2026-05-26T23:34:37.103113,open_palm
2026-05-26T23:34:37.384157,unknown
2026-05-26T23:34:37.890289,open_palm
2026-05-26T23:34:40.044394,fist
2026-05-26T23:34:40.072611,no_hand
2026-05-26T23:34:43.246753,open_palm
2026-05-26T23:34:49.383915,no_hand
2026-05-26T23:34:52.529187,open_palm
2026-05-26T23:34:53.923840,unknown
2026-05-26T23:34:53.951763,fist
2026-05-26T23:34:57.936961,open_palm
2026-05-26T23:35:03.823126,pinch
2026-05-26T23:35:03.964883,open_palm
2026-05-26T23:35:04.255577,pinch
2026-05-26T23:35:04.284265,open_palm
2026-05-26T23:35:05.289388,pinch
2026-05-26T23:35:05.433986,open_palm
2026-05-26T23:35:05.860822,pinch
2026-05-26T23:35:06.526169,open_palm
2026-05-26T23:35:08.590106,unknown
2026-05-26T23:35:08.647334,pinch
2026-05-26T23:35:09.682970,no_hand
2026-05-26T23:35:11.290563,open_palm
2026-05-26T23:35:12.569871,unknown
2026-05-26T23:35:12.745696,pinch
2026-05-26T23:35:14.819458,fist
2026-05-26T23:35:14.920615,unknown
2026-05-26T23:35:15.015435,open_palm
2026-05-26T23:35:16.274327,unknown
2026-05-26T23:35:16.302278,pinch
2026-05-26T23:35:21.027038,no_hand
2026-05-26T23:37:38.029875,open_palm
2026-05-26T23:37:41.901605,unknown
2026-05-26T23:37:43.828237,open_palm
2026-05-26T23:37:49.554817,peace
2026-05-26T23:37:56.584164,no_hand
2026-05-26T23:37:57.777069,open_palm
2026-05-26T23:38:09.426542,pinch
2026-05-26T23:38:10.393172,open_palm
2026-05-26T23:38:12.524777,pinch
2026-05-26T23:38:13.551622,open_palm
2026-05-26T23:38:14.683955,no_hand
2026-05-26T23:50:32.255201,no_hand
2026-05-26T23:50:47.754391,four_fingers
2026-05-26T23:50:53.487395,no_hand
2026-05-26T23:50:59.106933,one_finger
2026-05-26T23:50:59.657266,unknown
2026-05-26T23:51:01.666496,one_finger
2026-05-26T23:51:02.144866,no_hand
2026-05-26T23:51:10.773889,unknown
2026-05-26T23:51:16.934970,pinch
2026-05-26T23:51:17.134103,no_hand
2026-05-26T23:51:19.635899,unknown
2026-05-26T23:51:21.884490,pinch
2026-05-26T23:51:21.979425,no_hand
2026-05-26T23:51:23.283310,pinch
2026-05-26T23:51:27.894358,unknown
2026-05-26T23:51:27.995217,pinch
2026-05-26T23:51:29.177341,unknown
2026-05-26T23:51:31.253303,open_hand
2026-05-26T23:51:32.925909,unknown
2026-05-26T23:51:33.032380,no_hand
